row,id
0,24050
1,13967
2,4256
3,50194
4,58372
5,4361
6,4319
7,9961
8,6724
9,3110
10,13966
11,6272
12,7988
13,22330
14,37155
15,29247
16,8340
17,53118
18,4082
19,7012
20,12884
21,28844
22,2091
23,10993
24,3779
25,33304
26,2743
27,2847
28,10465
29,7749
30,51370
31,37532
32,4209
33,2615
34,31102
35,6207
36,7817
37,23973
38,4371
39,3082
40,24275
41,28565
42,9783
43,34410
44,57424
45,38605
46,6551
47,2861
48,32768
49,42394
50,2092
51,23627
52,40974
53,33935
54,13438
55,31586
56,44834
57,4315
58,34399
59,15933
60,35880
61,11356
62,2054
63,4402
64,5442
65,41752
66,29157
67,44904
68,9974
69,7291
70,24841
71,19397
72,31148
73,4359
74,23638
75,13429
76,38152
77,6063
78,27445
79,2484
80,24029
81,3060
82,34314
83,25504
84,14729
85,40057
86,2307
87,26479
88,11363
89,38494
90,24911
91,19581
92,1762
93,27444
94,26246
95,40153
96,26261
97,40267
98,4780
99,3769
100,3991
101,11778
102,29019
103,7006
104,39003
105,3863
106,14727
107,16913
108,10374
109,36312
110,36001
111,17497
112,8275
113,3713
114,2243
115,16191
116,7450
117,46385
118,8290
119,14101
120,11008
121,3845
122,3364
123,8207
124,2680
125,2265
126,12847
127,7847
128,30144
129,5827
130,4251
131,17257
132,19612
133,3120
134,2340
135,19789
136,2062
137,5506
138,38645
139,31236
140,11024
141,24269
142,25921
143,38637
144,5886
145,32464
146,19999
147,19110
148,28928
149,34100
150,38803
151,36737
152,7801
153,30302
154,7837
155,3519
156,5153
157,58734
158,9778
159,4042
160,14922
161,29352
162,33206
163,34403
164,2683
165,53774
166,52148
167,7004
168,3792
169,9827
170,51473
171,5100
172,2974
173,33310
174,10377
175,10840
176,7954
177,10499
178,22631
179,7447
180,23179
181,17613
182,31273
183,43085
184,11406
185,5097
186,38586
187,48257
188,3529
189,3073
190,6572
191,10822
192,9984
193,1814
194,22611
195,4203
196,37272
197,4391
198,9556
199,26471
200,17513
201,3778
202,3706
203,39067
204,54940
205,7784
206,3520
207,32438
208,18631
209,2047
210,4208
211,3044
212,4190
213,10690
214,2041
215,24042
216,18931
217,6996
218,15200
219,4864
220,40138
221,4843
222,22796
223,33955
224,3285
225,43498
226,12629
227,4313
228,3945
229,37984
230,7441
231,26263
232,26497
233,15475
234,43503
235,15000
236,16320
237,2343
238,38595
239,7127
240,5884
241,22367
242,18847
243,2984
244,11997
245,44883
246,27392
247,19400
248,2154
249,12634
250,8859
251,18889
252,8181
253,5960
254,13734
255,33246
256,8851
257,9624
258,46396
259,59834
260,8148
261,29184
262,9655
263,5128
264,51430
265,26401
266,5107
267,9654
268,13853
269,12367
270,15993
271,14772
272,9667
273,31093
274,11387
275,24285
276,17725
277,20155
278,41660
279,11708
280,24858
281,9498
282,9246
283,19831
284,12271
285,32393
286,9071
287,33235
288,26113
289,26056
290,8190
291,29291
292,29280
293,12025
294,7167
295,58809
296,43304
297,22356
298,26045
299,11079
300,51417
301,16541
302,12011
303,12017
304,59833
305,37794
306,6772
307,33492
308,33249
309,17719
310,41586
311,22354
312,9455
313,9662
314,5987
315,24524
316,9469
317,18305
318,6611
319,53211
320,27856
321,41605
322,12357
323,10794
324,19201
325,59301
326,27153
327,22576
328,23196
329,27871
330,15967
331,26800
332,15693
333,8728
334,27892
335,40129
336,26367
337,9262
338,17169
339,51423
340,26390
341,9659
342,21118
343,27542
344,29277
345,51426
346,10814
347,23207
348,14785
349,29696
350,57110
351,26063
352,12245
353,37785
354,7168
355,9072
356,20131
357,19692
358,20024
359,9639
360,11676
361,8788
362,17546
363,9236
364,9260
365,16045
366,14053
367,22800
368,18974
369,31640
370,37143
371,13867
372,30228
373,27887
374,13752
375,48361
376,27566
377,51401
378,57296
379,18749
380,12942
381,9590
382,13487
383,10807
384,8862
385,19204
386,41661
387,13743
388,27874
389,16032
390,19703
391,10813
392,12471
393,11697
394,8791
395,15968
396,12180
397,13940
398,4974
399,17571
400,8586
401,9634
402,22395
403,51400
404,30794
405,26065
406,27866
407,26958
408,2050
409,33553
410,17168
411,26087
412,27862
413,8472
414,51403
415,8871
416,20164
417,38823
418,14526
419,14786
420,15090
421,13459
422,9454
423,26114
424,17193
425,56770
426,12952
427,9064
428,58765
429,12304
430,9881
431,27148
432,13320
433,33239
434,9594
435,23037
436,27534
437,29639
438,12731
439,6320
440,46353
441,34038
442,29279
443,13051
444,9658
445,51488
446,59305
447,4972
448,26797
449,13661
450,29278
451,11632
452,16039
453,31100
454,16924
455,18317
456,19181
457,6015
458,31091
459,39780
460,9621
461,31649
462,27558
463,16042
464,37804
465,13417
466,7145
467,19702
468,26088
469,37736
470,2125
471,30806
472,9256
473,32395
474,12023
475,37723
476,9424
477,14716
478,36590
479,33241
480,9653
481,29669
482,5147
483,10480
484,26112
485,25006
486,57285
487,17750
488,23666
489,34028
490,9478
491,32762
492,47662
493,7143
494,58395
495,18760
496,13283
497,13217
498,26411
499,23180
500,15259
501,25420
502,54739
503,6497
504,15502
505,35465
506,26664
507,38544
508,7041
509,36476
510,35677
511,17033
512,15512
513,44746
514,25452
515,46117
516,9130
517,7267
518,44503
519,43878
520,11816
521,38770
522,35660
523,23855
524,21079
525,24302
526,4133
527,32952
528,55785
529,13066
530,20707
531,20716
532,35670
533,15220
534,22251
535,4019
536,30258
537,11842
538,50753
539,11951
540,33689
541,43379
542,22819
543,2540
544,22237
545,35673
546,24254
547,35531
548,21744
549,59944
550,49381
551,34747
552,22826
553,3695
554,57521
555,8210
556,5429
557,22828
558,6804
559,29573
560,37256
561,22246
562,13360
563,6448
564,56660
565,39629
566,21569
567,38660
568,13538
569,35386
570,15513
571,10154
572,13484
573,3489
574,45866
575,38535
576,57524
577,13077
578,42274
579,17959
580,2388
581,43236
582,3658
583,3564
584,35681
585,54066
586,39593
587,30237
588,12507
589,3588
590,5898
591,26659
592,17697
593,30239
594,26629
595,9213
596,19365
597,24717
598,30259
599,28657
600,18537
601,57467
602,13988
603,18405
604,46606
605,34751
606,57529
607,56722
608,24690
609,13382
610,26563
611,42275
612,3644
613,35696
614,3649
615,35392
616,6368
617,2495
618,46841
619,14481
620,10758
621,4282
622,9387
623,23935
624,30233
625,26646
626,59941
627,12867
628,12870
629,16157
630,44494
631,43380
632,22164
633,20700
634,2822
635,39970
636,34750
637,36465
638,50279
639,39946
640,22867
641,22245
642,22165
643,29572
644,13080
645,6431
646,7365
647,4343
648,7379
649,15508
650,39968
651,44739
652,37241
653,35848
654,7710
655,31942
656,14560
657,17766
658,57520
659,56655
660,22160
661,17704
662,12423
663,39625
664,31945
665,39664
666,14283
667,49484
668,35818
669,12519
670,12430
671,4853
672,22833
673,17669
674,17659
675,57480
676,10266
677,7714
678,5320
679,12510
680,43874
681,15503
682,7040
683,34862
684,22167
685,21741
686,47246
687,5699
688,17747
689,4183
690,11819
691,17757
692,18474
693,34088
694,33531
695,10627
696,4068
697,22865
698,38524
699,34748
700,24190
701,39687
702,6799
703,22846
704,39274
705,26561
706,46884
707,23913
708,20876
709,17768
710,46102
711,4134
712,36952
713,39984
714,47643
715,26559
716,44937
717,3640
718,32727
719,1546
720,22840
721,24188
722,55783
723,6413
724,12897
725,22189
726,49375
727,49497
728,24259
729,22177
730,6410
731,37243
732,18478
733,24482
734,33846
735,3790
736,33768
737,4132
738,8909
739,13903
740,14482
741,54742
742,4455
743,49420
744,12518
745,35671
746,17963
747,23679
748,13191
749,50751
750,15314
751,24455
752,22699
753,5350
754,34733
755,42091
756,4484
757,34654
758,34817
759,2197
760,25564
761,5471
762,54540
763,1636
764,7741
765,43371
766,23887
767,43341
768,11933
769,6643
770,17845
771,15415
772,9109
773,44232
774,19941
775,5579
776,24416
777,13198
778,24412
779,1785
780,13167
781,18412
782,24419
783,39638
784,42995
785,4523
786,22713
787,22542
788,26327
789,26612
790,1827
791,5390
792,5239
793,59015
794,14334
795,23864
796,31944
797,43001
798,35932
799,14345
800,9014
801,25411
802,35777
803,8093
804,22983
805,12977
806,41840
807,4569
808,36447
809,13915
810,3310
811,9396
812,2967
813,26620
814,29241
815,7600
816,5571
817,41437
818,34637
819,40480
820,4642
821,12959
822,44235
823,5735
824,1787
825,25412
826,8082
827,19307
828,32178
829,5384
830,42989
831,53874
832,5353
833,34831
834,10533
835,8344
836,1541
837,5248
838,18905
839,39634
840,8075
841,43360
842,5365
843,6631
844,9134
845,46215
846,42024
847,26592
848,5373
849,25415
850,43349
851,15740
852,29257
853,9105
854,54536
855,5348
856,10088
857,22491
858,39622
859,5401
860,5038
861,38663
862,46803
863,29250
864,21175
865,5406
866,6745
867,44234
868,10082
869,24413
870,42181
871,1784
872,31684
873,13166
874,5583
875,5537
876,28656
877,54539
878,42984
879,44612
880,3660
881,5577
882,34632
883,17844
884,4562
885,22952
886,4490
887,12954
888,20886
889,44227
890,18593
891,3688
892,4507
893,44762
894,17739
895,35425
896,4563
897,4657
898,41827
899,5582
900,12691
901,54524
902,5398
903,23941
904,6644
905,4151
906,5754
907,35428
908,28661
909,5712
910,34649
911,38665
912,5726
913,4445
914,10110
915,33827
916,9395
917,34848
918,28637
919,12971
920,8346
921,46090
922,6389
923,46801
924,35712
925,5408
926,4267
927,43335
928,3239
929,10078
930,39906
931,4547
932,5241
933,39910
934,1951
935,23505
936,4576
937,31978
938,51741
939,10037
940,3303
941,19938
942,8974
943,31209
944,8092
945,5375
946,12707
947,25442
948,25410
949,5476
950,7593
951,6387
952,1841
953,26614
954,15745
955,25418
956,26649
957,10126
958,36219
959,38674
960,22711
961,24424
962,53438
963,4153
964,4044
965,18419
966,23842
967,41435
968,15714
969,31955
970,5379
971,6667
972,31953
973,34735
974,40472
975,9136
976,26374
977,4342
978,4638
979,9121
980,43002
981,3301
982,5568
983,13168
984,13648
985,9203
986,26683
987,3161
988,13680
989,15723
990,13991
991,39635
992,5352
993,8085
994,25477
995,5349
996,4470
997,33823
998,8091
999,9398
1000,6874
1001,31128
1002,31126
1003,31130
1004,4984
1005,25907
1006,41302
1007,46216
1008,52131
1009,43510
1010,26974
1011,18736
1012,32581
1013,59991
1014,16567
1015,27196
1016,10016
1017,44688
1018,54974
1019,39716
1020,48467
1021,48473
1022,25966
1023,57035
1024,33969
1025,38839
1026,52162
1027,59981
1028,32576
1029,58494
1030,59980
1031,49631
1032,38843
1033,43919
1034,48470
1035,58505
1036,38832
1037,43586
1038,4933
1039,26928
1040,10360
